,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",443.40(6.31),36.57(0.90),83.05(1.24),82.28(0.93),50.41(0.44),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",361.80(106.83),48.24(15.28),76.77(2.81),72.16(4.57),49.85(0.50),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",342.00(12.71),51.07(1.82),48.27(2.18),49.04(2.40),49.75(1.95),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",346.60(5.22),50.41(0.75),50.28(1.75),51.14(1.91),49.74(1.01),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",244.00(1.87),65.09(0.27),nan(nan),nan(nan),50.24(0.24),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",332.60(5.90),52.42(0.84),45.09(1.76),46.45(1.78),49.89(1.04),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",342.60(44.20),50.99(6.32),51.17(11.69),48.67(10.00),51.06(0.70),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",243.00(1.58),65.24(0.23),nan(nan),nan(nan),50.19(0.31),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",457.20(0.45),34.59(0.06),89.52(0.48),85.48(0.51),49.97(0.09),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",457.00(0.00),34.62(0.00),89.56(0.51),85.45(0.63),50.01(0.00),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",244.20(1.92),65.06(0.28),nan(nan),nan(nan),49.81(0.30),0.16(0.00)
"{'T': 8, 'gamma': 16.667, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",453.40(5.13),35.14(0.73),81.88(1.60),78.24(1.44),49.77(0.35),0.16(0.00)
