,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",298.00,76.03,48.05,73.52,49.89,0.19
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 21}",298.00,76.03,48.05,73.52,49.89,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",516.00,58.49,45.73,73.60,52.55,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",516.00,58.49,45.73,73.60,52.55,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",516.00,58.49,45.73,73.60,52.55,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.24
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.24
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",615.00,50.52,46.26,73.48,49.65,0.24
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",615.00,50.52,46.26,73.48,49.65,0.23
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",615.00,50.52,46.26,73.48,49.65,0.24
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",298.00,76.03,48.05,73.52,49.89,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",298.00,76.03,48.05,73.52,49.89,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 21}",298.00,76.03,48.05,73.52,49.89,0.19
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.24
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.36
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.28
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.24
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",454.00,63.48,46.81,74.10,52.34,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",516.00,58.49,45.72,73.60,52.55,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.24
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",549.00,55.83,45.39,73.54,52.78,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",538.00,56.72,45.77,73.64,52.67,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",543.00,56.32,46.88,73.87,51.01,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",615.00,50.52,46.25,73.48,49.65,0.23
"{'C': 0.01, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 0.01, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 21}",298.00,76.03,48.32,73.23,49.89,0.19
"{'C': 1, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",479.00,61.46,49.26,75.16,52.18,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",479.00,61.46,49.26,75.16,52.18,0.24
"{'C': 1, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",479.00,61.46,49.26,75.16,52.18,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",521.00,58.09,46.70,74.27,52.75,0.24
"{'C': 1, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",521.00,58.09,46.70,74.27,52.75,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",521.00,58.09,46.70,74.27,52.75,0.24
"{'C': 1, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",552.00,55.59,46.19,74.01,52.86,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",552.00,55.59,46.19,74.01,52.86,0.24
"{'C': 1, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",552.00,55.59,46.19,74.01,52.86,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",552.00,55.59,46.59,74.13,52.16,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",552.00,55.59,46.59,74.13,52.16,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",552.00,55.59,46.59,74.13,52.16,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",573.00,53.90,47.18,74.10,50.35,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",573.00,53.90,47.18,74.10,50.35,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",573.00,53.90,47.18,74.10,50.35,0.24
"{'C': 1, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",605.00,51.33,47.24,73.38,50.64,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",605.00,51.33,47.24,73.38,50.64,0.24
"{'C': 1, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",605.00,51.33,47.24,73.38,50.64,0.23
"{'C': 1, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",336.00,72.97,50.18,75.69,53.46,0.19
"{'C': 1, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",336.00,72.97,50.18,75.69,53.46,0.19
"{'C': 1, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 21}",336.00,72.97,50.18,75.69,53.46,0.19
"{'C': 1, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",479.00,61.46,49.26,75.16,52.18,0.24
