,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 36}",1424.00,55.44,57.33,60.92,54.12,0.45
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 36}",1424.00,55.44,57.33,60.92,54.12,0.45
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 36}",1670.00,47.75,42.01,45.26,49.95,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 36}",1670.00,47.75,42.01,45.26,49.95,0.65
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 36}",1670.00,47.75,42.01,45.26,49.95,0.70
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 36}",1672.00,47.68,41.92,45.21,49.90,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 36}",1672.00,47.68,41.92,45.21,49.90,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 36}",1672.00,47.68,41.92,45.21,49.90,0.60
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 36}",1671.00,47.72,42.06,45.25,49.93,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 36}",1671.00,47.72,42.06,45.25,49.93,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 36}",1671.00,47.72,42.06,45.25,49.93,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 36}",1670.00,47.75,41.80,45.09,49.97,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 36}",1670.00,47.75,41.80,45.09,49.97,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 36}",1670.00,47.75,41.80,45.09,49.97,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 36}",1670.00,47.75,42.22,45.26,49.97,0.58
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 36}",1670.00,47.75,42.22,45.26,49.97,0.58
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 36}",1670.00,47.75,42.22,45.26,49.97,0.58
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 36}",1670.00,47.75,45.38,47.01,49.97,0.58
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 36}",1670.00,47.75,45.38,47.01,49.97,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 36}",1670.00,47.75,45.38,47.01,49.97,0.59
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 36}",1424.00,55.44,57.33,60.92,54.12,0.45
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 36}",1424.00,55.44,57.33,60.92,54.12,0.45
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 36}",1424.00,55.44,57.33,60.92,54.12,0.46
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 36}",1569.00,50.91,47.71,49.89,51.54,0.58
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 36}",1569.00,50.91,47.71,49.89,51.54,0.58
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 36}",1569.00,50.91,47.71,49.89,51.54,0.58
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 36}",1627.00,49.09,48.07,50.17,50.34,0.58
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 36}",1627.00,49.09,48.07,50.17,50.34,0.59
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 36}",1627.00,49.09,48.07,50.17,50.34,0.59
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 36}",1644.00,48.56,47.53,49.85,50.51,0.58
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 36}",1644.00,48.56,47.53,49.85,50.51,0.58
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 36}",1644.00,48.56,47.53,49.85,50.51,0.59
