,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 10}",7407.00,61.06,45.38,60.29,54.60,2.67
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 10}",7407.00,61.06,45.38,60.29,54.60,2.66
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 10}",11023.00,42.05,42.68,59.18,48.84,3.33
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 10}",11023.00,42.05,42.68,59.18,48.84,3.30
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 10}",11023.00,42.05,42.68,59.18,48.84,3.30
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 10}",11023.00,42.05,42.68,59.18,48.84,3.48
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 10}",11023.00,42.05,42.68,59.18,48.84,3.31
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 10}",11023.00,42.05,42.68,59.18,48.84,3.31
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 10}",11559.00,39.23,43.00,59.27,48.18,3.34
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 10}",11559.00,39.23,43.00,59.27,48.18,3.30
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 10}",11559.00,39.23,43.00,59.27,48.18,3.33
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 10}",11640.00,38.80,43.06,59.27,48.18,3.30
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 10}",11640.00,38.80,43.06,59.27,48.18,3.32
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 10}",11640.00,38.80,43.06,59.27,48.18,3.33
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 10}",11694.00,38.52,43.88,59.60,48.79,3.31
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 10}",11694.00,38.52,43.88,59.60,48.79,3.49
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 10}",11694.00,38.52,43.88,59.60,48.79,3.34
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 10}",12108.00,36.34,47.75,61.54,49.36,3.29
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 10}",12108.00,36.34,47.75,61.54,49.36,3.31
