,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 24}",277.00,71.12,52.54,73.20,50.61,0.14
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 24}",277.00,71.12,52.54,73.20,50.61,0.15
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 24}",502.00,47.65,52.14,72.69,47.65,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 24}",502.00,47.65,52.14,72.69,47.65,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 24}",502.00,47.65,52.14,72.69,47.65,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 24}",551.00,42.54,51.87,72.28,48.31,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 24}",551.00,42.54,51.87,72.28,48.31,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 24}",551.00,42.54,51.87,72.28,48.31,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 24}",637.00,33.58,51.22,72.07,50.61,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 24}",637.00,33.58,51.22,72.07,50.61,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 24}",637.00,33.58,51.22,72.07,50.61,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 24}",683.00,28.78,51.06,72.03,49.86,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 24}",683.00,28.78,51.06,72.03,49.86,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 24}",683.00,28.78,51.06,72.03,49.86,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 24}",682.00,28.88,51.18,72.05,50.15,0.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 24}",682.00,28.88,51.18,72.05,50.15,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 24}",682.00,28.88,51.18,72.05,50.15,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 24}",683.00,28.78,51.07,72.02,50.07,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 24}",683.00,28.78,51.07,72.02,50.07,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 24}",683.00,28.78,51.07,72.02,50.07,0.18
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 24}",277.00,71.12,52.54,73.20,50.61,0.15
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 24}",277.00,71.12,52.54,73.20,50.61,0.15
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 24}",277.00,71.12,52.54,73.20,50.61,0.15
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.19
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.19
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 24}",683.00,28.78,49.23,71.94,50.07,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 24}",683.00,28.78,49.23,71.94,50.07,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 24}",683.00,28.78,49.23,71.94,50.07,0.18
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 24}",360.00,62.46,55.41,75.30,50.42,0.15
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 24}",360.00,62.46,55.41,75.30,50.42,0.15
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 24}",360.00,62.46,55.41,75.30,50.42,0.15
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 24}",683.00,28.78,49.23,71.94,50.07,0.19
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 24}",683.00,28.78,49.23,71.94,50.07,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 24}",683.00,28.78,49.23,71.94,50.07,0.18
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 24}",360.00,62.46,55.41,75.30,50.42,0.15
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 24}",360.00,62.46,55.41,75.30,50.42,0.14
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 24}",360.00,62.46,55.41,75.30,50.42,0.15
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.19
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 24}",454.00,52.66,50.53,72.16,53.11,0.19
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 24}",523.00,45.46,50.33,72.14,52.42,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 24}",657.00,31.49,47.67,71.15,50.02,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 24}",681.00,28.99,47.86,71.19,50.11,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 24}",682.00,28.88,48.40,71.50,50.15,0.18
