,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 57}",1884.00,59.05,62.91,55.17,59.45,0.76
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 57}",1884.00,59.05,62.91,55.17,59.45,0.76
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 57}",1797.00,60.94,53.29,47.34,50.76,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 57}",1797.00,60.94,53.29,47.34,50.76,0.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 57}",1797.00,60.94,53.29,47.34,50.76,0.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 57}",1810.00,60.66,53.26,47.36,50.08,0.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 57}",1810.00,60.66,53.26,47.36,50.08,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 57}",1810.00,60.66,53.26,47.36,50.08,0.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,53.22,47.35,50.00,0.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,53.22,47.35,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,53.22,47.35,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,53.02,47.28,50.00,0.97
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,53.02,47.28,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,53.02,47.28,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,53.08,47.25,50.00,1.15
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,53.08,47.25,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,53.08,47.25,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,52.61,47.21,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,52.61,47.21,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,52.61,47.21,50.00,0.98
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 57}",1884.00,59.05,62.91,55.17,59.45,0.75
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 57}",1884.00,59.05,62.91,55.17,59.45,0.76
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 57}",1884.00,59.05,62.91,55.17,59.45,0.76
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 57}",1798.00,60.92,53.38,47.44,50.65,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 57}",1798.00,60.92,53.38,47.44,50.65,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 57}",1798.00,60.92,53.38,47.44,50.65,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 57}",1811.00,60.64,53.32,47.38,50.06,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 57}",1811.00,60.64,53.32,47.38,50.06,0.99
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 57}",1811.00,60.64,53.32,47.38,50.06,0.97
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,53.29,47.37,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,53.29,47.37,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,53.29,47.37,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,51.95,46.40,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,51.95,46.40,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,51.95,46.40,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,50.27,45.01,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,50.27,45.01,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,50.27,45.01,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,43.90,38.48,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,43.90,38.48,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,43.90,38.48,50.00,0.98
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 57}",1546.00,66.40,58.09,49.50,61.56,0.76
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 57}",1546.00,66.40,58.09,49.50,61.56,0.75
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 57}",1546.00,66.40,58.09,49.50,61.56,0.76
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 57}",1798.00,60.92,53.38,47.44,50.65,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 57}",1798.00,60.92,53.38,47.44,50.65,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 57}",1798.00,60.92,53.38,47.44,50.65,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 57}",1811.00,60.64,53.32,47.38,50.06,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 57}",1811.00,60.64,53.32,47.38,50.06,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 57}",1811.00,60.64,53.32,47.38,50.06,1.15
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,53.29,47.37,50.00,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 57}",1813.00,60.60,53.29,47.37,50.00,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 57}",1813.00,60.60,53.29,47.37,50.00,0.98
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 57}",1813.00,60.60,51.95,46.40,50.00,0.98
