,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 33}",65.00,67.17,48.71,25.64,49.90,0.03
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 33}",65.00,67.17,48.71,25.64,49.90,0.03
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 33}",51.00,74.24,47.34,22.74,48.68,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 33}",51.00,74.24,47.34,22.74,48.68,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 33}",51.00,74.24,47.34,22.74,48.68,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 33}",48.00,75.76,47.60,22.95,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 33}",48.00,75.76,48.54,23.68,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 33}",48.00,75.76,48.54,23.68,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 33}",48.00,75.76,48.54,23.68,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 33}",48.00,75.76,45.67,21.35,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 33}",48.00,75.76,45.67,21.35,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 33}",48.00,75.76,45.67,21.35,49.67,0.04
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 33}",65.00,67.17,48.71,25.64,49.90,0.03
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 33}",65.00,67.17,48.71,25.64,49.90,0.03
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 33}",65.00,67.17,48.71,25.64,49.90,0.03
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 33}",51.00,74.24,44.53,21.02,48.68,0.04
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 33}",51.00,74.24,44.53,21.02,48.68,0.04
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 33}",51.00,74.24,44.53,21.02,48.68,0.04
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 33}",48.00,75.76,44.57,21.00,49.67,0.04
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 33}",48.00,75.76,44.57,21.00,49.67,0.04
