,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 14}",308.00,55.36,54.23,54.12,54.72,0.10
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 14}",308.00,55.36,54.23,54.12,54.72,0.10
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 14}",312.00,54.78,51.61,49.90,49.54,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 14}",312.00,54.78,51.61,49.90,49.54,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 14}",312.00,54.78,51.61,49.90,49.54,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 14}",312.00,54.78,51.61,49.90,49.54,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 14}",312.00,54.78,51.61,49.90,49.54,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 14}",312.00,54.78,51.61,49.90,49.54,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 14}",308.00,55.36,51.79,49.98,49.87,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 14}",308.00,55.36,51.79,49.98,49.87,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 14}",308.00,55.36,51.79,49.98,49.87,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,51.38,49.69,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,51.38,49.69,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 14}",307.00,55.51,51.38,49.69,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,51.23,49.64,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,51.23,49.64,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 14}",307.00,55.51,51.23,49.64,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,46.98,45.04,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,46.98,45.04,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 14}",307.00,55.51,46.98,45.04,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 14}",308.00,55.36,54.23,54.12,54.72,0.10
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 14}",308.00,55.36,54.23,54.12,54.72,0.10
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 14}",308.00,55.36,54.23,54.12,54.72,0.10
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 14}",308.00,55.36,54.31,52.95,49.93,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 14}",308.00,55.36,54.31,52.95,49.93,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 14}",308.00,55.36,54.31,52.95,49.93,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,53.59,51.62,50.00,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,53.59,51.62,50.00,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 14}",307.00,55.51,53.59,51.62,50.00,0.13
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,54.95,51.69,50.00,0.13
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,54.95,51.69,50.00,0.13
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 14}",307.00,55.51,54.95,51.69,50.00,0.13
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,53.03,47.85,50.00,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,53.03,47.85,50.00,0.13
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 14}",307.00,55.51,53.03,47.85,50.00,0.13
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 14}",293.00,57.54,58.47,57.01,56.22,0.10
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 14}",293.00,57.54,58.47,57.01,56.22,0.10
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 14}",293.00,57.54,58.47,57.01,56.22,0.10
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.13
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.13
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 14}",308.00,55.36,54.31,52.95,49.93,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 14}",308.00,55.36,54.31,52.95,49.93,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 14}",308.00,55.36,54.31,52.95,49.93,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,53.59,51.62,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,53.59,51.62,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 14}",307.00,55.51,53.59,51.62,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,54.95,51.69,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,54.95,51.69,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 14}",307.00,55.51,54.95,51.69,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 14}",307.00,55.51,53.03,47.85,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 14}",307.00,55.51,53.03,47.85,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 14}",307.00,55.51,53.03,47.85,50.00,0.12
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 14}",293.00,57.54,58.47,57.01,56.22,0.10
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 14}",293.00,57.54,58.47,57.01,56.22,0.10
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 14}",293.00,57.54,58.47,57.01,56.22,0.10
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.13
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.13
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 14}",302.00,56.23,55.28,52.95,51.53,0.12
