,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.50
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.55
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.61
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.49
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.49
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.49
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.49
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 0.01, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.50
"{'C': 0.01, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 0.01, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.55
"{'C': 1, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.61
"{'C': 1, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.50
"{'C': 1, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.52
"{'C': 1, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 1, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 1, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.29,63.21,50.00,0.49
"{'C': 1, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 954}",7.00,99.11,40.97,85.72,99.51,0.28
"{'C': 1, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 954}",11.00,98.61,11.15,78.95,99.24,0.51
"{'C': 1, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 954}",83.00,89.48,1.82,77.12,94.24,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 954}",431.00,45.37,1.59,77.04,70.11,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.32,75.55,50.00,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
"{'C': 1, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 954}",721.00,8.62,1.44,76.34,50.00,0.50
